SPEAKER,VOWEL,AGE,SEX,F1,F2,F3
12,uw,adult,male,300,900,2130
12,uw,adult,male,260,1010,2240
12,er,adult,male,400,1450,1650
12,er,adult,male,360,1410,1640
13,iy,adult,male,290,2290,2600
13,iy,adult,male,260,2290,2700
13,ih,adult,male,390,1950,2550
13,ih,adult,male,400,1900,2450
13,eh,adult,male,490,1740,2500
13,eh,adult,male,500,1780,2430
13,ae,adult,male,660,1630,2500
13,ae,adult,male,670,1630,2380
13,ah,adult,male,600,1220,2530
13,ah,adult,male,600,1210,2430
13,aa,adult,male,680,1120,2630
13,aa,adult,male,670,1100,2700
13,ao,adult,male,510,720,2450
13,ao,adult,male,480,710,2540
13,uh,adult,male,380,910,2350
13,uh,adult,male,440,1030,2400
13,uw,adult,male,350,720,2750
13,uw,adult,male,380,740,2880
13,er,adult,male,430,1370,1610
13,er,adult,male,440,1360,1600
14,iy,adult,male,228,2350,2860
14,iy,adult,male,220,2350,2920
14,ih,adult,male,407,2070,2500
14,ih,adult,male,420,1900,2450
14,eh,adult,male,445,2020,2420
14,eh,adult,male,470,2020,2500
14,ae,adult,male,721,1680,2400
14,ae,adult,male,750,1710,2440
14,ah,adult,male,552,1122,2500
14,ah,adult,male,580,1150,2600
14,aa,adult,male,686,1078,2570
14,aa,adult,male,700,1050,2680
14,ao,adult,male,560,665,2620
14,ao,adult,male,550,650,2700
14,uh,adult,male,448,980,2370
14,uh,adult,male,410,940,2370
14,uw,adult,male,232,696,2200
14,uw,adult,male,222,665,2080
14,er,adult,male,432,1300,1400
14,er,adult,male,420,1300,1570
15,iy,adult,male,230,2100,2850
15,iy,adult,male,240,2000,2980
15,ih,adult,male,365,1900,2340
15,ih,adult,male,300,2040,2560
15,eh,adult,male,440,1980,2310
15,eh,adult,male,410,2050,2500
15,ae,adult,male,620,1710,2110
15,ae,adult,male,660,1800,2150
15,ah,adult,male,660,1000,2380
15,ah,adult,male,660,960,2450
15,aa,adult,male,600,830,2250
15,aa,adult,male,620,820,2400
15,ao,adult,male,500,620,2250
15,ao,adult,male,550,700,2550
15,uh,adult,male,390,730,2180
15,uh,adult,male,360,740,2200
15,uw,adult,male,260,720,2100
15,uw,adult,male,260,740,2040
15,er,adult,male,450,1230,1600
15,er,adult,male,460,1300,1650
16,iy,adult,male,300,2355,3250
16,iy,adult,male,300,2460,3280
16,ih,adult,male,385,2242,2805
16,ih,adult,male,407,2250,2780
16,eh,adult,male,504,2090,2720
16,eh,adult,male,543,1980,2640
16,ae,adult,male,680,1958,2542
16,ae,adult,male,708,1840,2535
16,ah,adult,male,675,1320,2550
16,ah,adult,male,704,1393,2550
16,aa,adult,male,825,1168,2750
16,aa,adult,male,840,1210,2680
16,ao,adult,male,671,1000,2670
16,ao,adult,male,690,968,2660
16,uh,adult,male,443,1273,2430
16,uh,adult,male,459,1286,2410
16,uw,adult,male,395,1300,2160
16,uw,adult,male,400,1320,2150
16,er,adult,male,532,1500,1890
16,er,adult,male,538,1460,1818
17,iy,adult,male,264,2290,2700
17,iy,adult,male,256,2305,2635
17,ih,adult,male,380,1880,2440
17,ih,adult,male,346,1930,2390
17,eh,adult,male,510,1780,2300
17,eh,adult,male,520,1730,2275
17,ae,adult,male,630,1770,2350
17,ae,adult,male,630,1642,2170
17,ah,adult,male,601,1273,2130
17,ah,adult,male,590,1283,2150
17,aa,adult,male,750,1150,2440
17,aa,adult,male,703,1092,2320
17,ao,adult,male,565,780,2350
17,ao,adult,male,584,849,2460
17,uh,adult,male,420,1100,2140
17,uh,adult,male,422,1200,2175
17,uw,adult,male,315,1080,2260
17,uw,adult,male,326,1125,2210
17,er,adult,male,444,1300,1625
17,er,adult,male,469,1288,1600
18,iy,adult,male,210,2100,3090
18,iy,adult,male,220,2080,3180
18,ih,adult,male,280,2000,2710
18,ih,adult,male,310,1950,2670
18,eh,adult,male,470,1910,2580
18,eh,adult,male,490,1930,2650
18,ae,adult,male,640,1620,2200
18,ae,adult,male,650,1580,2360
18,ah,adult,male,610,1100,2230
18,ah,adult,male,620,1120,2330
18,aa,adult,male,700,1100,2240
18,aa,adult,male,670,1100,2220
18,ao,adult,male,460,720,2180
18,ao,adult,male,470,690,2200
18,uh,adult,male,320,770,1860
18,uh,adult,male,310,790,1920
18,uw,adult,male,210,670,1900
18,uw,adult,male,240,730,1850
18,er,adult,male,390,1320,1550
18,er,adult,male,420,1240,1510
19,iy,adult,male,190,2650,3280
19,iy,adult,male,190,2700,3170
19,ih,adult,male,370,1750,2700
19,ih,adult,male,370,1800,2750
19,eh,adult,male,370,1680,2560
19,eh,adult,male,375,1700,2500
19,ae,adult,male,550,1570,2600
19,ae,adult,male,530,1610,2650
19,ah,adult,male,570,1050,2500
19,ah,adult,male,590,1100,2480
19,aa,adult,male,640,970,2870
19,aa,adult,male,670,980,2900
19,ao,adult,male,560,860,2900
19,ao,adult,male,570,820,2820
19,uh,adult,male,350,1000,2500
19,uh,adult,male,380,920,2370
19,uw,adult,male,250,1000,2100
19,uw,adult,male,210,960,1940
19,er,adult,male,360,1300,1920
19,er,adult,male,370,1300,1760
20,iy,adult,male,250,2180,2660
20,iy,adult,male,260,2210,2780
20,ih,adult,male,400,1900,2440
20,ih,adult,male,350,1980,2480
20,eh,adult,male,560,1670,2310
20,eh,adult,male,530,1700,2380
20,ae,adult,male,680,1470,2280
20,ae,adult,male,620,1580,2320
20,ah,adult,male,620,1100,2390
20,ah,adult,male,640,1110,2370
20,aa,adult,male,630,980,2330
20,aa,adult,male,670,940,2380
20,ao,adult,male,560,790,2480
20,ao,adult,male,610,840,2420
20,uh,adult,male,360,860,2200
20,uh,adult,male,400,840,2200
20,uw,adult,male,280,670,2140
20,uw,adult,male,250,720,2190
20,er,adult,male,480,1410,1760
20,er,adult,male,470,1330,1700
21,iy,adult,male,280,2400,2910
21,iy,adult,male,300,2320,2960
21,ih,adult,male,410,2060,2680
21,ih,adult,male,450,2050,2670
21,eh,adult,male,540,1900,2530
21,eh,adult,male,540,1920,2520
21,ae,adult,male,620,1800,2440
21,ae,adult,male,690,1820,2480
21,ah,adult,male,630,1200,2600
21,ah,adult,male,680,1290,2600
21,aa,adult,male,740,1110,2500
21,aa,adult,male,700,1060,2720
21,ao,adult,male,600,970,2570
21,ao,adult,male,650,880,2660
21,uh,adult,male,430,1130,2440
21,uh,adult,male,430,1150,2420
21,uw,adult,male,280,990,2330
21,uw,adult,male,290,1000,2300
21,er,adult,male,420,1350,1600
21,er,adult,male,450,1350,1600
22,iy,adult,male,300,2300,2800
22,iy,adult,male,350,2240,2760
22,ih,adult,male,410,2200,2680
22,ih,adult,male,440,2080,2520
22,eh,adult,male,580,1870,2320
22,eh,adult,male,520,1900,2400
22,ae,adult,male,760,1920,2480
22,ae,adult,male,670,1850,2560
22,ah,adult,male,810,1110,2100
22,ah,adult,male,770,1150,2100
22,aa,adult,male,700,1040,2120
22,aa,adult,male,750,1160,2080
22,ao,adult,male,670,920,2240
22,ao,adult,male,570,850,2250
22,uh,adult,male,550,970,2200
22,uh,adult,male,490,870,2240
22,uw,adult,male,300,600,2300
22,uw,adult,male,230,570,2100
22,er,adult,male,560,1520,2100
22,er,adult,male,540,1570,2050
23,iy,adult,male,240,2100,2900
23,iy,adult,male,240,2150,2860
23,ih,adult,male,380,1870,2450
23,ih,adult,male,430,1710,2350
23,eh,adult,male,580,1770,2500
23,eh,adult,male,570,1750,2400
23,ae,adult,male,760,1580,2440
23,ae,adult,male,715,1500,2300
23,ah,adult,male,620,880,2500
23,ah,adult,male,650,1000,2520
23,aa,adult,male,710,950,2520
23,aa,adult,male,690,960,2520
23,ao,adult,male,460,610,2500
23,ao,adult,male,470,710,2500
23,uh,adult,male,390,900,2100
23,uh,adult,male,460,920,2140
23,uw,adult,male,250,690,2080
23,uw,adult,male,270,650,2050
23,er,adult,male,540,1280,1720
23,er,adult,male,510,1280,1650
24,iy,adult,male,280,2450,2700
24,iy,adult,male,288,2500,2880
24,ih,adult,male,400,2080,2530
24,ih,adult,male,384,2110,2500
24,eh,adult,male,590,1900,2200
24,eh,adult,male,583,1840,2250
24,ae,adult,male,680,1850,2400
24,ae,adult,male,685,1780,2160
24,ah,adult,male,660,1370,2110
24,ah,adult,male,680,1300,2100
24,aa,adult,male,760,1260,2120
24,aa,adult,male,770,1140,2020
24,ao,adult,male,500,800,1850
24,ao,adult,male,600,1000,2000
24,uh,adult,male,380,1060,1950
24,uh,adult,male,470,1220,2150
24,uw,adult,male,324,800,2220
24,uw,adult,male,290,800,2150
24,er,adult,male,560,1350,1780
24,er,adult,male,600,1470,1820
25,iy,adult,male,250,2190,3000
25,iy,adult,male,254,2085,2890
25,ih,adult,male,330,1967,2670
25,ih,adult,male,430,1940,2590
25,eh,adult,male,464,2100,2700
25,eh,adult,male,504,1995,2780
25,ae,adult,male,595,1900,2700
25,ae,adult,male,670,1860,2500
25,ah,adult,male,620,1200,2420
25,ah,adult,male,630,1127,2420
25,aa,adult,male,750,1160,2360
25,aa,adult,male,740,1155,2330
25,ao,adult,male,460,740,2300
25,ao,adult,male,494,789,2420
25,uh,adult,male,400,1020,2200
25,uh,adult,male,450,1028,2160
25,uw,adult,male,392,1000,2120
25,uw,adult,male,350,898,2140
25,er,adult,male,547,1340,1688
25,er,adult,male,512,1280,1570
26,iy,adult,male,246,2185,2730
26,iy,adult,male,267,2280,2800
26,ih,adult,male,420,2300,2800
26,ih,adult,male,384,2110,2620
26,eh,adult,male,480,1920,2540
26,eh,adult,male,551,1788,2450
26,ae,adult,male,628,1837,2570
26,ae,adult,male,622,1890,2560
26,ah,adult,male,628,1254,2470
26,ah,adult,male,617,1255,2480
26,aa,adult,male,690,1072,2660
26,aa,adult,male,630,1000,2530
26,ao,adult,male,510,700,2650
26,ao,adult,male,504,756,2540
26,uh,adult,male,465,990,2440
26,uh,adult,male,462,976,2450
26,uw,adult,male,324,708,2440
26,uw,adult,male,387,786,2518
26,er,adult,male,488,1468,1712
26,er,adult,male,472,1465,1725
27,iy,adult,male,275,2060,2800
27,iy,adult,male,270,2020,2790
27,ih,adult,male,349,2030,2760
27,ih,adult,male,340,1940,2560
27,eh,adult,male,444,1800,2500
27,eh,adult,male,380,1800,2440
27,ae,adult,male,688,1600,2300
27,ae,adult,male,660,1570,2380
27,ah,adult,male,565,1157,2310
27,ah,adult,male,550,1150,2250
27,aa,adult,male,712,1024,2250
27,aa,adult,male,670,1080,2300
27,ao,adult,male,550,913,2360
27,ao,adult,male,550,890,2280
27,uh,adult,male,360,1028,2160
27,uh,adult,male,390,1060,2150
27,uw,adult,male,294,930,2050
27,uw,adult,male,280,1000,2160
27,er,adult,male,440,1250,1625
27,er,adult,male,480,1160,1520
28,iy,adult,male,320,2160,2900
28,iy,adult,male,267,2230,3000
28,ih,adult,male,440,1750,2400
28,ih,adult,male,390,1780,2450
28,eh,adult,male,525,1800,2480
28,eh,adult,male,520,1750,2390
28,ae,adult,male,660,1600,2400
28,ae,adult,male,720,1680,2430
28,ah,adult,male,600,1250,2300
28,ah,adult,male,575,1170,2240
28,aa,adult,male,730,1160,2340
28,aa,adult,male,860,1280,2470
28,ao,adult,male,560,810,2290
28,ao,adult,male,584,840,2280
28,uh,adult,male,455,970,2140
28,uh,adult,male,456,1040,2038
28,uw,adult,male,350,820,2130
28,uw,adult,male,366,772,2058
28,er,adult,male,450,1420,1870
28,er,adult,male,472,1430,1840
29,iy,adult,male,333,2305,3200
29,iy,adult,male,326,2260,3030
29,ih,adult,male,375,2188,2750
29,ih,adult,male,400,2150,2680
29,eh,adult,male,500,1980,2480
29,eh,adult,male,480,1950,2340
29,ae,adult,male,640,1710,2450
29,ae,adult,male,615,1720,2220
29,ah,adult,male,583,1110,2360
29,ah,adult,male,608,1120,2700
29,aa,adult,male,777,1170,2600
29,aa,adult,male,750,1175,2820
29,ao,adult,male,630,891,2519
29,ao,adult,male,572,924,2660
29,uh,adult,male,438,975,2300
29,uh,adult,male,420,938,2300
29,uw,adult,male,333,800,2130
29,uw,adult,male,320,840,2150
29,er,adult,male,480,1320,1870
29,er,adult,male,483,1335,1844
30,iy,adult,male,267,2300,2940
30,iy,adult,male,220,2300,2900
30,ih,adult,male,431,2040,2460
30,ih,adult,male,360,2010,2400
30,eh,adult,male,565,1950,2500
30,eh,adult,male,540,2000,2450
30,ae,adult,male,600,2000,2570
30,ae,adult,male,590,1950,2460
30,ah,adult,male,630,1140,2200
30,ah,adult,male,630,1170,2280
30,aa,adult,male,730,1048,2450
30,aa,adult,male,730,1130,2320
30,ao,adult,male,600,900,2400
30,ao,adult,male,640,890,2280
30,uh,adult,male,448,960,2200
30,uh,adult,male,450,1000,2180
30,uw,adult,male,333,835,2170
30,uw,adult,male,280,750,2170
30,er,adult,male,488,1300,1600
30,er,adult,male,490,1380,1620
31,iy,adult,male,312,2380,2900
31,iy,adult,male,300,2350,3000
31,ih,adult,male,490,2000,2620
31,ih,adult,male,490,1960,2600
31,eh,adult,male,640,2000,2620
31,eh,adult,male,555,1870,2540
31,ae,adult,male,697,1610,2540
31,ae,adult,male,684,1634,2510
31,ah,adult,male,633,1260,2530
31,ah,adult,male,660,1213,2460
31,aa,adult,male,730,1203,2700
31,aa,adult,male,752,1125,2620
31,ao,adult,male,507,755,2420
31,ao,adult,male,538,816,2450
31,uh,adult,male,456,1040,2300
31,uh,adult,male,480,1120,2160
31,uw,adult,male,344,960,2150
31,uw,adult,male,350,1000,2250
31,er,adult,male,539,1370,1800
31,er,adult,male,549,1353,1728
32,iy,adult,male,292,2500,3150
32,iy,adult,male,266,2370,3100
32,ih,adult,male,372,2220,2640
32,ih,adult,male,350,2130,2610
32,eh,adult,male,574,1840,2260
32,eh,adult,male,563,1960,2450
32,ae,adult,male,650,1738,2400
32,ae,adult,male,663,1820,2400
32,ah,adult,male,600,1370,2180
32,ah,adult,male,625,1312,2250
32,aa,adult,male,735,1070,2100
32,aa,adult,male,713,1180,2200
32,ao,adult,male,625,875,2180
32,ao,adult,male,700,1000,2250
32,uh,adult,male,420,1100,2000
32,uh,adult,male,420,1120,2100
32,uw,adult,male,350,980,2200
32,uw,adult,male,320,918,2100
32,er,adult,male,554,1480,1800
32,er,adult,male,484,1505,1890
33,iy,adult,male,286,2415,2860
33,iy,adult,male,300,2415,2860
33,ih,adult,male,400,1980,2500
33,ih,adult,male,407,2095,2620
33,eh,adult,male,525,1988,2610
33,eh,adult,male,553,1935,2530
33,ae,adult,male,640,1773,2490
33,ae,adult,male,640,1840,2560
33,ah,adult,male,672,1272,2640
33,ah,adult,male,658,1241,2560
33,aa,adult,male,780,1170,2640
33,aa,adult,male,788,1115,2645
33,ao,adult,male,633,891,2500
33,ao,adult,male,600,935,2550
33,uh,adult,male,490,1102,2420
33,uh,adult,male,492,1077,2306
33,uw,adult,male,320,960,2240
33,uw,adult,male,320,960,2290
33,er,adult,male,543,1310,1643
33,er,adult,male,508,1309,1600
34,iy,adult,female,370,2670,3100
34,iy,adult,female,390,2760,3060
34,ih,adult,female,468,2330,2930
34,ih,adult,female,410,2380,2950
34,eh,adult,female,550,2200,2880
34,eh,adult,female,570,2100,3040
34,ae,adult,female,800,1980,2810
34,ae,adult,female,860,1920,2850
34,ah,adult,female,635,1200,3250
34,ah,adult,female,700,1200,3100
34,aa,adult,female,880,1240,2870
34,aa,adult,female,830,1200,2880
34,ao,adult,female,570,830,3300
34,ao,adult,female,700,1000,3130
34,uh,adult,female,410,940,3040
34,uh,adult,female,450,970,3190
34,uw,adult,female,480,955,2960
34,uw,adult,female,395,810,2900
34,er,adult,female,500,1850,2100
34,er,adult,female,560,1750,2100
35,iy,adult,female,270,2760,3550
35,iy,adult,female,290,2700,3350
35,ih,adult,female,460,2500,3220
35,ih,adult,female,410,2400,3240
35,eh,adult,female,620,2300,3200
35,eh,adult,female,630,2300,3170
35,ae,adult,female,820,2180,2850
35,ae,adult,female,740,2120,3070
35,ah,adult,female,800,1300,2900
35,ah,adult,female,760,1400,2830
35,aa,adult,female,850,1120,2620
35,aa,adult,female,880,1220,2850
35,ao,adult,female,460,900,2830
35,ao,adult,female,440,880,2850
35,uh,adult,female,500,1040,2750
35,uh,adult,female,490,1000,2720
35,uw,adult,female,400,940,2720
35,uw,adult,female,410,860,2700
35,er,adult,female,440,1560,1750
35,er,adult,female,420,1600,1750
36,iy,adult,female,290,2700,3020
36,iy,adult,female,280,2630,3240
36,ih,adult,female,420,2300,2950
36,ih,adult,female,420,2220,2980
36,eh,adult,female,640,2120,2900
36,eh,adult,female,700,2000,2900
36,ae,adult,female,1000,1830,2820
36,ae,adult,female,980,1800,2820
36,ah,adult,female,780,1410,2720
36,ah,adult,female,710,1450,2750
36,aa,adult,female,950,1280,2600
36,aa,adult,female,870,1260,2740
36,ao,adult,female,610,900,2710
36,ao,adult,female,630,840,2700
36,uh,adult,female,440,1050,2780
36,uh,adult,female,420,1050,2740
36,uw,adult,female,380,860,2500
36,uw,adult,female,330,750,2740
36,er,adult,female,580,1450,1720
36,er,adult,female,540,1560,1900
37,iy,adult,female,294,2800,3100
37,iy,adult,female,270,2880,3160
37,ih,adult,female,420,2430,3030
37,ih,adult,female,420,2370,2930
37,eh,adult,female,580,2180,2770
37,eh,adult,female,540,2160,2770
37,ae,adult,female,820,1970,2620
37,ae,adult,female,840,2000,2700
37,ah,adult,female,690,1200,2900
37,ah,adult,female,666,1206,2900
37,aa,adult,female,800,1200,2920
37,aa,adult,female,760,1140,2850
37,ao,adult,female,560,760,2800
37,ao,adult,female,560,770,3000
37,uh,adult,female,430,1075,2580
37,uh,adult,female,430,1000,2700
37,uw,adult,female,330,840,2550
37,uw,adult,female,280,850,2500
37,er,adult,female,430,1800,1930
37,er,adult,female,420,1740,1960
38,iy,adult,female,350,2800,3160
38,iy,adult,female,338,2870,3300
38,ih,adult,female,400,2540,3200
38,ih,adult,female,420,2680,3000
38,eh,adult,female,518,2470,3200
38,eh,adult,female,600,2400,3150
38,ae,adult,female,773,2000,2870
38,ae,adult,female,875,2100,2970
38,ah,adult,female,733,1468,2700
38,ah,adult,female,740,1280,2900
38,aa,adult,female,730,1210,2740
38,aa,adult,female,735,1220,2850
38,ao,adult,female,560,960,2850
38,ao,adult,female,536,850,2850
38,uh,adult,female,424,1040,2780
38,uh,adult,female,520,1060,2670
38,uw,adult,female,380,770,2900
38,uw,adult,female,340,750,2780
38,er,adult,female,490,2120,2480
38,er,adult,female,493,1930,2300
39,iy,adult,female,325,2700,3100
39,iy,adult,female,310,2750,3225
39,ih,adult,female,350,2580,3000
39,ih,adult,female,390,2700,3200
39,eh,adult,female,560,2330,2800
39,eh,adult,female,520,2500,3000
39,ae,adult,female,806,1970,2600
39,ae,adult,female,825,1860,2550
39,ah,adult,female,708,1485,2760
39,ah,adult,female,676,1500,2590
39,aa,adult,female,800,1200,2800
39,aa,adult,female,714,1154,2850
39,ao,adult,female,530,800,2780
39,ao,adult,female,485,810,2750
39,uh,adult,female,450,1460,2550
39,uh,adult,female,467,1400,2450
39,uw,adult,female,450,1080,2350
39,uw,adult,female,400,1000,2400
39,er,adult,female,524,1700,2130
39,er,adult,female,507,1800,2380
40,iy,adult,female,300,3100,3400
40,iy,adult,female,300,3100,3500
40,ih,adult,female,428,2570,3000
40,ih,adult,female,440,2640,3080
40,eh,adult,female,528,2540,3170
40,eh,adult,female,504,2520,3200
40,ae,adult,female,940,2250,2760
40,ae,adult,female,820,2200,2920
